channel,unit,modulation_depth_hz,rate_dir_0_N_hz,rate_dir_1_NE_hz,rate_dir_2_E_hz,rate_dir_3_SE_hz,rate_dir_4_S_hz,rate_dir_5_SW_hz,rate_dir_6_W_hz,rate_dir_7_NW_hz
25,2,4.39,6.81,8.97,9.08,4.7,6.66,8.27,8.14,9.02
26,1,1.4,2.2,2.11,0.9,0.79,1.11,0.95,1.19,1.75
27,1,4.52,10.34,10.04,7.74,7.14,9.44,11.67,11.02,10.64
30,1,3.46,6.25,6.72,4.65,3.26,4.85,4.18,4.92,4.88
31,1,1.08,0.83,0.31,0.6,0.31,0.53,0.65,0.84,1.39
33,1,26.31,29.94,31.92,36.98,50.16,56.24,54.61,44.54,37.92
34,1,2.38,1.41,3.17,1.92,2.2,1.57,0.79,2.16,2.18
35,1,3.65,26.27,26.1,29.75,27.53,27.13,29.59,28.37,28.67
36,1,4.61,10.18,10.53,7.24,5.94,6.78,5.92,6.54,8.64
37,1,9.3,50.44,51.27,49.01,45.87,45.42,42.68,51.98,46.32
38,1,10.04,22.05,27.72,22.72,19.68,21.01,17.68,19.15,20.58
38,2,14.34,21.83,30.42,24.84,21.56,16.61,16.08,17.58,21.03
39,1,19.39,35.82,33.01,21.85,17.56,19.03,28.89,33.45,36.96
41,1,7.31,16.25,18.15,16.39,23.12,22.43,20.71,15.81,17.0
41,2,0.62,0.0,0.0,0.0,0.62,0.25,0.0,0.17,0.07
42,1,1.91,1.87,3.07,2.43,3.61,2.4,1.96,1.7,1.79
43,1,0.87,0.53,0.42,1.06,0.79,1.29,1.16,0.69,0.8
45,1,1.37,8.05,9.0,8.78,7.66,8.64,8.92,8.27,9.03
46,1,3.12,9.84,9.35,7.54,6.72,8.08,7.53,9.8,7.48
47,1,12.17,75.43,72.95,74.24,71.06,78.3,83.23,76.57,79.1
48,1,0.57,0.58,1.06,0.95,0.49,0.68,0.79,0.59,0.69
49,1,10.46,3.68,3.82,7.79,6.31,8.69,14.13,9.16,4.68
50,1,1.69,3.12,2.6,1.74,1.95,1.43,2.54,2.85,2.2
51,1,4.18,6.19,4.55,2.02,2.25,3.25,3.0,2.73,5.34
52,1,2.21,3.19,3.45,1.24,2.31,1.75,1.96,2.88,2.9
53,1,4.76,6.2,3.42,4.43,8.17,4.52,4.77,5.93,6.61
55,1,5.42,6.73,8.6,7.81,7.98,10.96,5.82,8.32,5.53
56,1,8.13,19.72,17.97,14.74,16.52,19.25,18.44,22.87,21.62
56,2,1.99,0.0,0.0,0.06,0.0,0.0,1.02,1.99,0.27
57,1,6.69,7.25,3.64,0.57,1.63,2.12,2.48,4.71,5.75
59,1,22.03,46.11,53.25,55.33,65.56,62.5,55.33,47.87,43.53
60,1,2.43,2.57,4.34,2.64,2.17,1.91,2.03,1.99,2.03
60,2,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1,3.34,2.0,3.96,2.48,1.93,0.75,0.76,0.62,1.49
62,1,1.44,0.31,1.75,1.08,0.89,0.67,0.38,0.57,0.72
63,1,2.45,2.54,4.54,2.18,2.08,2.91,2.65,3.6,2.6
64,1,2.34,5.1,4.63,2.84,2.93,2.76,4.36,5.0,3.8
64,2,5.35,7.65,8.29,5.13,6.94,8.36,10.48,10.38,8.64
66,1,10.18,11.0,16.19,11.02,11.62,8.47,7.84,6.02,9.08
67,1,10.44,3.55,3.64,9.2,13.99,12.07,8.52,8.28,5.74
67,2,0.78,0.0,0.0,0.2,0.57,0.66,0.78,0.31,0.0
68,1,2.64,7.08,8.82,9.26,9.73,9.71,8.93,9.29,8.01
68,2,0.2,0.15,0.12,0.2,0.11,0.0,0.16,0.0,0.06
69,1,4.02,6.34,5.03,3.57,5.2,6.22,7.6,5.41,6.88
70,1,2.9,8.01,6.34,5.11,5.56,5.91,5.93,7.66,7.53
72,1,9.56,11.9,11.97,5.18,2.41,4.66,4.4,7.08,11.11
72,2,0.52,0.24,0.3,0.11,0.06,0.05,0.0,0.09,0.52
73,1,1.37,2.78,2.71,2.5,1.89,2.29,2.97,2.84,3.26
74,1,9.95,13.15,17.22,12.96,13.02,9.06,8.97,11.53,7.26
75,1,12.6,31.52,29.72,24.51,20.85,29.58,33.45,26.0,29.17
76,1,3.38,8.9,9.04,6.95,8.36,7.46,7.85,10.14,10.33
76,2,0.6,0.51,0.76,0.36,0.61,0.46,0.28,0.47,0.88
78,1,11.79,17.18,9.55,8.15,6.22,6.19,8.48,16.4,17.98
78,2,3.92,2.95,1.57,1.54,0.81,0.23,0.38,3.84,4.15
79,1,5.89,9.3,12.66,12.26,15.09,10.43,12.63,9.2,9.22
80,1,5.04,10.17,11.65,10.97,15.21,14.8,14.83,12.93,12.53
82,1,1.48,0.69,1.16,1.12,1.94,1.7,2.08,2.17,1.17
83,1,6.52,5.68,9.22,10.07,6.85,3.55,4.14,4.25,3.98
83,2,0.09,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.07
84,1,36.2,12.98,23.97,44.63,47.83,24.35,16.0,12.11,11.63
84,2,18.47,4.46,8.59,21.46,21.97,9.81,3.78,4.44,3.5
85,1,24.12,16.57,26.25,34.91,28.19,16.41,12.88,10.8,11.41
85,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1,5.32,2.8,3.61,5.92,6.79,7.63,4.35,2.32,2.79
87,1,0.39,0.0,0.0,0.0,0.0,0.05,0.39,0.16,0.32
87,2,6.19,6.48,4.7,7.93,7.6,8.01,10.89,9.12,10.49
88,1,20.02,22.4,27.6,21.83,41.86,37.69,26.19,23.18,24.41
88,2,5.37,1.14,1.13,1.95,6.13,6.15,2.5,1.28,0.78
89,1,0.81,0.4,0.81,0.37,0.32,0.0,0.19,0.4,0.44
89,2,28.57,36.69,46.56,42.85,25.06,18.17,17.99,30.63,35.29
90,1,12.37,34.02,31.64,21.65,27.99,24.14,26.88,33.52,30.91
90,2,0.57,0.26,0.17,0.31,0.32,0.57,0.0,0.2,0.0
91,1,9.17,13.25,8.4,4.63,5.29,4.96,7.05,11.91,13.8
91,2,0.2,0.06,0.0,0.0,0.12,0.08,0.1,0.2,0.1
92,1,2.79,3.04,3.18,0.62,0.4,0.78,1.18,1.72,2.71
92,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1,0.84,0.93,1.33,0.56,0.49,0.78,0.59,0.79,0.8
94,1,4.13,9.2,8.89,6.39,5.06,6.36,8.27,8.59,8.04
95,1,4.5,5.29,6.6,3.9,2.77,3.32,4.29,7.27,6.36
96,1,3.11,4.3,4.12,3.4,1.98,2.23,2.85,5.09,4.67
